,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,12193,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19870703.0,19870703.0,False,,1,,,,2025-05-27T17:02:00.000Z,110307.13423887246,55897433077.1302,22.4536,0.15957458,0.77490177,4.70207214,17.49857682,31.6861557,26.90842683,2191880303241.7656,63.0925,2316449819016.32,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
1,1027,Ethereum,ETH,ethereum,10313,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120725747.86194856,120725747.86194856,True,,2,,,,2025-05-27T17:02:00.000Z,2673.6926193921736,23304542999.27832,65.4276,0.25938137,5.05965482,7.81052922,48.91313387,43.02038176,11.32757383,322783541029.09235,9.2908,322783541029.09,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
2,825,Tether USDt,USDT,tether,129819,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,152755320500.2985,156004270711.96384,True,,3,,,,2025-05-27T17:01:00.000Z,1.000321868970868,83003055096.13504,23.3317,-0.00310206,0.00773713,0.01552365,-0.00155347,0.09412312,0.15385309,152804487698.10254,4.3984,156054483646.03,,2025-05-27T17:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-27 19:02:48.154986
3,52,XRP,XRP,xrp,1615,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58686007292.0,99986107098.0,False,,4,,,,2025-05-27T17:02:00.000Z,2.3406352651168905,2329135682.5495076,14.9058,0.08200328,1.18409402,0.20769065,4.70816208,8.10470436,3.60759824,137362538236.56218,3.9538,234063526511.69,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
4,1839,BNB,BNB,bnb,2550,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887965.35,140887965.35,False,,5,,,,2025-05-27T17:02:00.000Z,692.5594874213066,1940417972.99196,21.1987,0.13999686,2.45741578,7.31110426,15.57337985,11.40821981,11.89095526,97573297066.6268,2.8085,97573297066.63,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
5,5426,Solana,SOL,solana,926,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,520404096.2965427,601680098.6156687,True,,6,,,,2025-05-27T17:02:00.000Z,178.26344487931257,3511778117.807418,17.3504,-0.09258334,1.44458814,7.61561783,19.94480481,37.8136025,29.87072199,92769026935.12721,2.6671,107257567094.55,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
6,3408,USDC,USDC,usd-coin,28254,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61469475147.830925,61469475147.830925,False,,7,,,,2025-05-27T17:02:00.000Z,0.9997814180709901,11866705186.458702,10.8042,0.0147276,-0.00105141,-0.01520524,-0.02072016,-0.01358621,-0.00711834,61456039031.377884,1.769,61456039031.38,,2025-05-27T17:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-27 19:02:48.154986
7,74,Dogecoin,DOGE,dogecoin,1229,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149439016383.7052,149439016383.70526,True,,8,,,,2025-05-27T17:02:00.000Z,0.22851893229598175,1316399711.1022072,3.1816,-0.10029988,1.79402428,4.15603235,27.53073984,27.32596139,10.7333321,34149644467.366035,0.983,34149644467.37,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
8,2010,Cardano,ADA,cardano,1524,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35334514487.46726,44994495302.31451,False,,9,,,,2025-05-27T17:01:00.000Z,0.7689981228414899,676882989.9754977,-2.243,0.12034171,1.21872094,5.52679516,10.73556947,11.07203718,14.52127058,27172175312.377754,0.7812,34604915527.87,,2025-05-27T17:01:00.000Z,,,,,,2025-05-27 19:02:48.154986
9,1958,TRON,TRX,tron,1180,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94873221137.98709,94873229402.61708,True,,10,,,,2025-05-27T17:02:00.000Z,0.2752243710825916,570838132.9541533,21.1448,0.39082139,1.15651892,0.8961687,10.51769017,18.69306116,21.34006907,26111422620.282135,0.7516,26111424894.91,,2025-05-27T17:02:00.000Z,,,,,,2025-05-27 19:02:48.154986
